,rating,estimate_salary_point,company_link,location,company_name,title,estimate_salary_range,job_description
504,3.7,-1,"/Overview/Working-at-Intelerad-EI_IE217292.11,20.htm","Seattle, WA",Intelerad,QA SOFTWARE DEVELOPMENT ENGINEER,-1,"Company DescriptionOver the last 20 years, Intelerad has grown into a leader of the medical imaging software industry.

We take pride in being a world-class healthcare solutions company with more than 400 employees and over 1000 customer sites. Today, our distributed solutions play a vital role in the delivery of healthcare across 11 time zones, 3 continents, and counting

We offer a work environment that encourages teamwork, promotes well-being, autonomy, and creativity in our brand new offices located Downtown Montreal.Job DescriptionAre you interested in testing and automating the software delivery process to deliver high-quality technology to the most advanced radiology groups around the world? Do you love the idea of joining a small, experienced team where you will be responsible for developing and maintaining quality processes and standards? You’ll be joining the team at a critical point of growth for the company and product as we expand our team to build new technology, enter new geographic territories, and grow our customer base. This role offers huge upside potential, high visibility, and fast career growth. It is a unique opportunity to work with smart people who are solving complex problems.

We are looking for an experienced QA Software Development Engineer to join our development team! You will work with other developers to ensure the functional integrity and efficient design of our products. You’ll develop a comprehensive understanding of our products and tech stack to develop manual and automated validation strategies for existing and upcoming features. You should be comfortable solving complex problems and have a strong desire to develop your skills in test automation technology. We value simplicity, life-long learning, curiosity, exploration, risk-taking, and a willingness to jump in a tackle any problem.QualificationsA qualified candidate must have a solid understanding of web application test strategies. The candidate must be willing to gain competence in our core technologies to develop a higher understanding of the role, processes, and procedures.

Mandatory

BS engineering, computer science or equivalent software engineering experience 2+ years of software testing previous experience1+ years programming in Java or similar OOP language1+ years writing SQL queries of moderate complexityExperience developing web application test strategies and automation frameworksExperience writing manual and automated tests Automated testing with SeleniumPerformance test experience with JMeterExperience with PHPUnit JavaScript testing framework Jasmine or similarTask-driven with a great attitude and ability to communicate with many cross-functional teams

Desired

Experience with DICOM and HL7 applications and/or protocolsExperience with scientific or medical software applicationsExperience with FDA, HIPPA, MILSPEC, or another regulated environment


Additional InformationWe offer:

Competitive salariesEmployee recognition programEmployee referral programFlexible hoursComprehensive insurance planTraining & skills upgradingSocial eventsDynamic culture
"
505,4.5,"$86,061","/Overview/Working-at-Moser-Consulting-EI_IE828899.11,27.htm","Indianapolis, IN",Moser Consulting,Senior .NET Developer,$77K-$93K ,"Join our team of Development Consultants and work on dynamic long-term projects. The majority of our team members are long-term employees who enjoy consistent work and a collaborative team approach!

Full-Stack development in support of client systems on Oracle and/or SQL Server. Produce data in various file formats (examples: XML, Excel, fixed width, variable length, etc.). Provide development and production support of client applications. Follow all standard operating procedures. Full life cycle development. The use of judgments and experience to select methods and techniques for obtaining solutions. Completion of assignments with little supervision. Work on multiple projects simultaneously. Work in a high volume/transaction processing environment.

Requirements

Bachelor's degree, preferably in technology related disciplines. 5+ years experience in developing high-performance solutions in .NET. Working knowledge of Oracle and/or SQL Server. Azure or AWS experience required. Familiar with SQL databases and understanding of application development. Able to work with a variety of customers and collaborate with technical teams. Excellent testing/troubleshooting skills.

Benefits

For more than 20 years, Moser Consulting has been the go-to source for exceptional IT talent with the ability to self-manage. At Moser Consulting, our people are our #1 asset. We hire the best people, welcome them like family, connect them with opportunities, and let them do what they do best: produce innovative solutions to technology problems.

Our culture gives us a competitive advantage by keeping our employees happy, healthy, and by lowering stress levels in a very demanding industry. It is no accident that we are recognized as one of the Best Places to Work in Indiana. We focus on giving employees: an incredible work space; a fun, collaborative, and creative atmosphere; an extremely generous compensation package; and dozens of outstanding and unique perks usually not found at one company.

Equal Opportunity Employer–minorities/females/veterans/individuals with disabilities/sexual orientation/gender identity."
506,4.0,"$42,836","/Overview/Working-at-SciPlay-EI_IE2594105.11,18.htm","Cedar Falls, IA",SciPlay,Associate Software Quality Assurance Engineer,$36K-$49K ,"






Cedar Falls, IA 




Apply


Social:Scientific Games, Social is a global leader focused in providing an ever-expanding portfolio of robust iGaming and Social Casino solutions to the global gaming industry. To put it simply - we make Mobile and Facebook games that are fun to play, fun to make, and we're growing like crazy! Scientific Games global reach is made possible by the expertise of our rock star teams and game makers. Want to be part of a fast-paced company that lands in the Top 1% of Social Casino games? See more details below!Scientific Games:Scientific Games (SG) is a global leader focused on delivering an ever-expanding portfolio of lottery and gaming products and services to the world's government-regulated and government-sponsored entities. Scientific Games' global reach is made possible through the expertise, skill and dedicated efforts of its 8,000+ employees who serve lottery and gaming customers in more than 100+ countries on 6 continents.Position SummaryThe Associate Test Engineer Social Gaming will evaluate and execute procedures for maintaining high standards of quality, and reliability for all software developed for retail, mobile and online distribution.

Essential Job Functions:

Ensure that all software is working as intended through rigorous, detailed testingDocument and maintain the status of all problems in the bug tracking databaseCommunicate with other departments to prevent issues from arising and correct existing problems during the development cycle

Qualifications:

Education: BS in CS (or equivalent)

Required Experience:

At least 1 year gaming and/or software testing experience preferredTechnical Support experience is a plus

Knowledge, Skills, & Abilities:

Strong verbal and written communication skills.Ability to efficiently regulate and prioritize tasks.Ability to meet quick deadlines and deliver precise, effective results in a fast-paced work environment.Strong technical knowledge of computers and mobile devices or troubleshooting computer and mobile device problems.

QualificationsVision: Close Vision, Depth Perception, Distance Vision, Ability to Adjust Focus, Peripheral Vision, Ability to Distinguish All Colors

Physical Requirements: Office environment

Work Conditions: May require weekend and evening hours. May require travel.

The physical demands and work environment characteristics described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

We are SciPlay! We make games!

The roots of our company are simple and strong: Our founder, fell head over heels for casino games and had a vision to create the most entertaining free-to-play casino games for gamers around the world. We’ve grown into a company that makes games we are truly proud of and that are enjoyed by millions of players every day. Our history is extensive, but we’re just getting started. In 1998, we got our start as Phantom EFX and in 2019, we reintroduced ourselves as SciPlay and went public on the Nasdaq.

At SciPlay, we are programmed to think untraditionally. From our yearly development conferences, shindigs, and new game launches, we believe in doing what you love and doing it well. We take great pride in our ability to create authentic experiences for players and we are excited to continue investing in our workforce, technology, and our data-driven approach, all with the mission of delighting our players long into the future. We believe that if we continue to stay passionate, set ambitious goals, live our values and play together, we will become the #1 social casino and casual gaming company in the world.

A few of our highlighted perks and benefits:

Competitive salaries and annual bonuses alongside matching 401k, employee stock options, and other competitive benefits.Strong commitment to work/life balanceFully stocked gameroom featuring current generation consoles and titles, pool table, ping pong table and full arcade

SciPlay Corporation and its affiliates (collectively, SciPlay) are committed to creating a workforce of credibility and dependability. As a prerequisite to employment with SciPlay (to the extent permitted by law), you shall be asked to consent to SciPlay conducting a due diligence/background investigation on you. This job description should not be interpreted as all-inclusive; it is intended to identify major responsibilities and requirements of the job. The employee in this position may be requested to perform other job-related tasks and responsibilities than those stated above. SciPlay is an Equal Opportunity Employer and does not discriminate against applicants due to race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. If you’d like more information about your equal employment opportunity rights as an applicant under the law, please click here EEOC Poster.

Scientific Games Corporation and its affiliates (collectively, “SG”) are engaged in highly regulated gaming and lottery businesses. As a result, certain SG employees may, among other things, be required to obtain a gaming or other license(s), undergo background investigations or security checks, or meet certain standards dictated by law, regulation or contracts. In order to ensure SG complies with its regulatory and contractual commitments, as a condition to hiring and continuing to employ its employees, SG requires all of its employees to meet those requirements that are necessary to fulfill their individual roles. As a prerequisite to employment with SG (to the extent permitted by law), you shall be asked to consent to SG conducting a due diligence/background investigation on you.

This job description should not be interpreted as all-inclusive; it is intended to identify major responsibilities and requirements of the job. The employee in this position may be requested to perform other job-related tasks and responsibilities than those stated above.

SG is an Equal Opportunity Employer and does not discriminate against applicants due to race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. If you’d like more information about your equal employment opportunity rights as an applicant under the law, please click here EEOC Poster.



Apply
"
507,3.7,"$92,891","/Overview/Working-at-Northrop-Grumman-EI_IE488.11,27.htm","Bellevue, NE",Northrop Grumman,Principal Software Engineer - Java or Web Dev - Agile,$73K-$118K ,"At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today and for generations to come. Our work preserves freedom and democracy, and advances human discovery and our understanding of the universe. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have a lot of fun along the way. Our culture thrives on intellectual curiosity, openness to cognitive diversity, and bringing your whole self to work - and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history. You will learn, grow, and play in an environment that focuses on results and delivery, all backed by strong corporate values and ethics. This Principal Software Engineer position in Bellevue, NE supports the United States Strategic Command (USSTRATCOM) programs. The candidate should have experience with structured software development methodologies and modern software test tools and techniques. The candidate will work within a cross-functional Scrum team, and will be responsible for developing software, participating in acceptance criteria development, creating scripts and utilizing COTS tools to automate testing, documenting instructions within the wiki, and participating in integration activities. NGLinkedDS NGMSNEQualifications:Basic Qualifications:  Bachelor's degree in Computer Science, Computer Engineering, or related field in the Software/information technology Industry with a minimum of 5 years of experience in the software engineering field . Will accept an additional 4 years of relevant experience in lieu of degree. Master's Degree in related field and a minimum of 3 years of experience in the software engineering field. -Ability to work on cross-function Scrum team focused on quality and capability delivery - Experience with Java development and/or front-end web development including JavaScript Frameworks (View JS, Angular JS or React), HTML, and CSS -Experience with build and dependency management tools (Maven, Gradle) -Experience with maintaining or integrating with relational databases such as Oracle and/or non-relational databases (Neo4J, Cassandra, MongoDB, etc) -Experience working with web services and Java EE development and administration (Oracle applications stack, JBoss, etc) -Familiarity with continuous integration and continuous delivery and related tools -Experience with test automation practices and tools (Junit, Selenium, Karma, and/or Protractor) -Experience with version control software (Bitbucket,Mercurial, Git) -Experience with Linux/Unix and/or Windows operating systems -Experience with Agile methodologies (Scrum, Kanban, or Extreme Programming) -U.S. Citizenship -A DoD Secret security clearance and ability to maintain it. Preferred Qualifications: -Agile development training and/or experience as a Scrum Master -Experience maintaining complex enterprise systems -Experience with Amazon Web Services -Experience with VMware  -Familiarity with Test automation practices and tools (Junit, Selenium, Karma, Protractor, Nightwatch, and/or QFTest) -Experience with configuration management tools (Ansible, Puppet, and/or Chef) -Experience with secure software development practices and tools (Fortify, SonarQube) -Experience with microservices and microservice architectures -Full DoD Top Secret clearance Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit www.northropgrumman.com/EEO. U.S. Citizenship is required for most positions."
508,4.4,"$115,348","/Overview/Working-at-Nextiva-EI_IE483424.11,18.htm","Scottsdale, AZ",Nextiva,"Manager, Software Engineering",$76K-$147K ,"At Nextiva, we don't study industry trends and build our products and services reactively; instead, we look to be the leader in defining the trends, during these unprecedented times.

We strive to be the best of the best across multiple technology channels UCaaS and SaaS to name a few. We are determined to help write the future for businesses around the globe by creating innovative products and an agnostic platform that delivers first-class communications tools in the hands of every business. We are a global team of the fastest-growing, privately held provider of cloud communications.

We are seeking forward-thinking and hardworking individuals for a Manager, Software Engineering to lead our rapidly growing Customer Engagement development team.

What You'll Do:

Be responsible for leading a growing team of software engineers to develop our customer engagement platform, crafting new software systems from the ground up and supporting existing products and services. Additional responsibilities include:


Lead a full stack software engineering team.
Own the end to end software delivery and timeline, including design, programming, testing and implementation to meet business and technical requirements.
Collaborate with product managers, designers, and senior level engineering leaders to define the team's vision, strategy, and product roadmap.
Establish lean engineering processes that use focus and rapid iteration to build the right product for the right problem.
Mentor, grow, and empower your team to realize professional and business success.
Be a strong collaborator with your fellow engineering managers and leaders, shepherding our tribe-level engineering organization.

Who You Are:

Experienced You are an experienced engineering leader with hands on experience writing code with object-oriented languages (Java) as well as knowledge of modern web technologies (JavaScript, React, Webpack) and Redis, RabbitMQ, and Postgres are a strong plus.
Technical You're fluent in commonly used design patterns and can constructively review the work of others to ensure high quality. You're familiar with Software-as-a-Service and microservice architecture.
Passionate You are customer-focused and have passion for building software that resonates with users on large web scale infrastructure that ""just works"".
Relentlessly High Standards You understand what it takes to write software that is used by thousands or millions of people. You love creating things that are robust, scalable, and perform well. You possess a growth mentality and continue to learn new technologies and techniques.
Leader You have the drive and ability to get things done in an innovative and fast paced environment. You lead in order to help team members to reach their full potential.
Team Player You enjoy collaborating, learning from and teaching others, so we can all become better engineers. You assume positive intent in others, and actively do your part to make a positive work environment.
Recruiter Nextiva focuses on hiring creators, and in this role you will be asked to always be on the lookout for the best talent to bring onboard to help us continue to be forward-thinking and be one of the best companies in the world!

Minimum Qualifications:

Bachelor's degree in Computer Science, Mathematics, Statistics, related technical field, or equivalent practical experience.
5+ years of software development experience, building scalable and high availability enterprise software.
2+ years of people management experience in multi-disciplinary software engineering teams, including building and retaining robust teams.
Ability to travel up to 10%, including international travel.

Preferred Qualifications:

Experience with Java, JavaScript, React, Webpack, Redis, RabbitMQ, Kafka, Postgres, Docker/Kubernetes, Python, AsyncIO, ElasticSearch, RESTful APIs, and microservices.
Familiarity with Agile/Scrum methodologies.
Demonstrated experience advising the software development function, including process, design, development, delivery and maintenance of software systems and applications.
Reputation of success in delivering enterprise software on time and with high quality.
Ability to manage ambiguity in complex, constantly evolving environments.
Ability to communicate conceptual ideas, engineering rationale and technical challenges to a wide range of audiences.
Ability to achieve strategic goals and evolve product strategy based on research, data and industry trends. Excellent problem-solving, interpersonal and analytical skills.
This position will be required to pass a background check upon hire.

So, why Nextiva?

Our people do amazing things to help businesses solve their toughest challenges. Really, they do. We simplify the way businesses communicate, creating innovative and affordable solutions for businesses of all sizes. We acquired our first customer in 2008 and today thousands use our tools and platform. Talented team members around the globe embrace Amazing Service this culture of Amazing Service extends to how we treat both our customers and one another. We are passionate about Nextiva's unique culture and are looking for like-minded individuals that share our values and vision.

Nextiva is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. We prohibit discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws."
509,4.2,"$107,954","/Overview/Working-at-Cisco-Systems-Customer-Experience-EI_IE1425.11,24_DIV1488035.htm",Division of Cisco Systems,Cisco Systems -  Customer Experience,Technical Project Manager-Enterprise Software Engineering,$83K-$135K ,"What You’ll DoYou're a Program Manager and will lead multiple initiatives, programs and solutions that align with business portfolio strategy.Key responsibilities:
Own full program life-cycle from initiation to deployment.Develop and manage multi-functional program schedules; identify risks, manage scope and resource changes, and monitor progress against plan.Identify, call out and drive resolution of issues that affect program schedule and feature dedications.Define, generate and assess performance metrics for the program. Ensure all necessary data are available for critical decision-making.Communicate regularly to management and executives on program status, risks and change control.Ensure effective communication within the multi-functional teams – Operations, Engineering, Product Management, QA and Release Management.Improve the adoption of core agile principles of teamwork, prioritization and iterative development, team accountability and transparency.Participate in establishing practices, templates, policies, tools and partnerships to grow and mature these capabilities for the organization.


Who You'll Work WithCisco is transforming the networking industry. To make this happen, we are heavily investing in a team responsible for The Network Intuitive. We are disrupting the industry by building a new networking platform that can learn, adapt, and secure itself at the speed of today’s businesses. This Digital Network Architecture(DNA) platform automates network management and provides our customers with state-of-the-art analytics and insights. This team's innovations spans artificial intelligence, machine learning, analytics, IoT, security, automation, and more.Who You Are
Minimum Bachelor's degree with a technical field or equivalent experience10+ years meaningful experience in networking/technology related business, with 4+ years in a Program Management position, with proven history and ability taking care of executive management.People management experience is a plusOutstanding teammate with ability to develop and foster multi-functional relationshipsExcellent collaboration and communication skills and ability to work/influence with different levels of management.Outstanding written, presentation, and verbal communication skills.Practical work experience with waterfall and agile development methodologies


Desired Qualifications:
You'll balance multiple tasks at once and work independently with minimal managerial mentorship.You have strong team building skills. This role requires the ability to work across departments and with other teams.Be open to continuous learning and committed to ongoing self-improvement.Initiate and participate in interpersonal efforts to improve overall group efficiency and test effectiveness. You'll contribute to overall test strategiesSelf-motivated, strong sense of ownership, good teammate


Why Cisco
We connect everything: people, processes, data, and things. We innovate everywhere, taking aggressive risks to craft the technologies that give us smart cities, connected cars, and handheld hospitals. And we do it in style with rare personalities who aren’t afraid to change the way the world works, lives, plays and learns.We are leaders with vision, tech geeks, pop culture aficionados, and we even have a few purple haired rock stars. We celebrate the creativity and diversity that fuels our innovation. We are dreamers and we are doers.

We Are Cisco.

Cisco is an Affirmative Action and Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis. Cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records."
510,,-1,,"Palo Alto, CA","DOCOMO Innovations, Inc.","Senior Software Engineer, Full Stack (Japanese Bilingual)",-1,"DOCOMO Innovations is a R&D arm of NTT DOCOMO in Silicon Valley. We are a cross-functional team focused on Wireless Communication, Network, Cloud and Services.
As the Senior Software Engineer, Full Stack, you must be an exceptional, hands-on engineer with an extensive scope of responsibilities deploying specialized integration capability in complex network environments from network to application. You will must possess a strong technical background that enables them to drive an engagement and interact at the highest levels of mobile telecom companies, as well as having the presence and wherewithal to easily communicate the benefits of cloud computing to the mobile network platform architects, infrastructure architects and engineers, and enterprise security and compliance teams.
BASIC QUALIFICATIONS:
- Must have over 7 years of experience with strong hands-on work experience from frontend to the backend.

Any client-side development experience over Web
Experience of smartphone application with a level of UI design is required.
Excellent knowledge of Java, Spring, REST, Linux and AWS cloud environments
Strong knowledge of Database development
Hands-on experience with DevOps technologies
Excellent communications with other team engineers, management and business partners.

Experience creating and maintaining technical documentation. Primary language is English
The Job Description is intended to be a general representation of the responsibilities and requirements of the job.
However, the description may not be all-inclusive, and responsibilities and requirements are subject to change."
512,4.4,"$131,340","/Overview/Working-at-Genesys-EI_IE10078.11,18.htm","Durham, NC",Genesys,Lead Software Engineer,$87K-$169K ,"We’re investing 1 billion dollars in R&D over the next 4 years and need the right individuals to turn that investment into innovation. Presently, our platform services millions of transactions per minute, with thousands of production deploys every month, consisting of hundreds of microservices, running in nine AWS regions around the world, without any downtime.

Connections matter, at certain times with greater urgency. Whenever the moment, our technology facilitates those connections creating experience as a service. Our team members own their critical services and words like scalability, resiliency, and automation are at the heart of every line of code we write.

Innovation is a key characteristic of our team members and a driving force for our product development.

Robust multi-tenant microservice architecture primarily based on Java/Spring Boot, but also includes some Go, Python, Node, Kotlin, and Clojure.
We employ the use of Lambdas and serverless technologies when possible and economical.
Advanced automated build, DevOps, and QA pipelines with heavy use of AWS.
Many of our team members further their professional development with AWS certifications, continuing education, weekly tech talks, and participation in company hackathons.

As a Lead Software Engineer, you will be responsible for the development of components and services used to deliver mission-critical platform features. You will work in a fast-paced, startup culture, where our environment is one of continuous change, innovation and experimentation. You will work with established and cutting-edge technologies like Java, Kafka, Redis, GoLang, JavaScript, and various AWS Services to build on our micro-service Cloud architecture. You must demonstrate mastery in one or more of these technologies and be an expert in distributed systems.

Successful Lead Software Engineers will:

See opportunities to improve the platform through deep understanding and awareness.
Be a highly detailed individual who builds solutions that are scalable, stable, and resistant to chaos.
Understand and proactively monitor platform metrics.
Work closely and collaboratively with team members.
Demonstrate a high level of curiosity and keep up-to-date on the latest technologies.
Strive for excellence in the features they deliver.

Major Responsibilities/Activities:

Design new software features through agile development practices such as chartering, story-mapping, and regular stand-up meetings.
Implement new features, work with support services to fix any issues found in the field, and monitor platform components.
Write unit and integration tests.
See features through deployment into production.
Participate in code pull requests as a reviewer and author, staying open to constructive comments.
Recommend new technologies as components of a solution when appropriate.
Work with Product Management during the requirements gathering phase.
Adhere to Genesys Code of Business Conduct and Ethics.

Minimum Requirements:

7+ years’ experience in software engineering and in Java or JavaScript.
Experience with synchronization techniques in stateless distributed systems.
Demonstrable understanding of scalability and availability in distributed systems.
Experience with one or more of Tomcat, Jetty, or Grizzly.
Working experience with REST APIs.
Familiarity with NoSQL solutions.
Experience with messaging systems and proven integration patterns.
Experience with Linux operating environments.
Good verbal and written communication skills.
Bachelor’s degree in Computer Science or related work experience.

The ideal candidate would also have experience with:

Redis
Amazon Web Services (EC2, Lambda, Dynamo, S3, SQS, SNS, etc.)
Git
Jenkins
Maven

About Genesys

Every year, Genesys® delivers more than 70 billion remarkable customer experiences for organizations in over 100 countries. Through the power of the cloud and AI, our technology connects every customer moment across marketing, sales and service on any channel, while also improving employee experiences. Genesys pioneered Experience as a ServiceSM so organizations of any size can provide true personalization at scale, interact with empathy, and foster customer trust and loyalty. This is enabled by Genesys CloudTM, an all-in-one solution and the world’s leading public cloud contact center platform, designed for rapid innovation, scalability and flexibility. Visit www.genesys.com.

Genesys is an equal opportunity employer committed to diversity in the workplace. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, disability, veteran status, and other protected characteristics. #LI-BJ1




"
513,4.1,"$107,371","/Overview/Working-at-Cisco-Systems-Engineering-Software-EI_IE1425.11,24_DIV1488034.htm",Division of Cisco Systems,Cisco Systems - Engineering - Software,Senior Software Test Engineer-UI Automation-SDWAN,$89K-$144K ,"=== WHO YOU'LL WORK WITH ===You will be part of the Software Development and Quality Assurance team that is responsible for validating all aspects of Cisco Software Defined WAN (SD-WAN) solution. The Enterprise Networking Business (ENB) is Cisco's largest business group by revenue, profit, and contribution margin of $34 bn+. You will work on Enterprise edge products that integrate industry-leading routing, application services, security, and voice/video features with new technologies such as virtualization, 4G mobile data, cloud-based IT applications, DNA, Switching, Routing and WAN. Customers range from small businesses to the world's largest retailers, financial institutions, and IT service providers. Our customers likely include your bank, apparel retailer, grocery store, superstore, and maybe even your favorite coffee shop. Driving innovation and increased customer value has enabled Cisco Enterprise Routing to maintain market share leadership in a competitive environment.
=== WHAT YOU'LL DO ===Improve existing automation suit and build new automated test cases using Selenium/webdriver/Java testing
Develop new utilities to support test automation needs
Must have demonstrated creative ways of solving UI automation and typical challenges
Ability to think differently and come up with an automated way of UI automated test cases and framework.
Familiarity of various UI automation frameworks and their pros and cons.
=== WHO YOU ARE ===5-8 years of UI Automation experience
Experience with ELK and Grafana
Experience with Selenium/Java - automation framework
Experience with JavaScript/ Angular - automation framework
Strong scripting skills in Python, Perl or Shell
Proficiency in Unix/Linux environments
Knowledge of TCP/IP networking
Must have B.S. in computer science, software engineering, computer engineering, electrical engineering, or related area of study.
=== WHY CISCO ===
#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.
We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. A blockchain company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!
We Are Cisco."
514,4.1,"$144,350","/Overview/Working-at-Cisco-Systems-Engineering-Software-EI_IE1425.11,24_DIV1488034.htm",Division of Cisco Systems,Cisco Systems - Engineering - Software,"Senior Software Development Engineer, DNAC Assurance and Analytics",$139K-$152K ,"Who We Are

Cisco is transforming the networking industry. To make this happen, we are heavily investing in a team responsible for The Network Intuitive. We are disrupting the industry by building a new networking platform that can learn, adapt, and secure itself at the speed of today’s businesses. This Digital Network Architecture platform automates network management and provides our customers with state-of-the-art analytics and insights. This team's innovations span artificial intelligence, machine learning, analytics, IoT, security, automation, and more.

Who we are looking for?

We are looking for a Senior development engineer with the strong knowlege and experience in building analytics application.As a Senior development engineer, you will be involved in the design and development of various features for DNAC assurance application that provides state-of-the-art analytics and insights.

Candidate should have the following skills and experience:

10+ years of experience in building various applications using Java in a Micro-service architecture Experience in building scalable stream processing applications using Kafka, Flink, Cassandra, Kubernetes, and Elasticsearch. Experience with cloud computing services like AWS, Azure, etc. Ablity to work across cross-functional teams to discuss and close on the technical solutions Experience with log management tools such as Kibana, Grafana Strong understanding of operating systems, file systems Experience working with wired and wireless network technolgies is an added advantage. Very strong analytical and problem solving skills Excellent written and oral communication skills and ability to work with large, geographically and culturally diverse teams 

 Why Cisco

At Cisco, each person brings their unrivaled talents to work as a team and make a difference.

Yes, our technology changes the way the world works, lives, plays and learns, but our edge comes from our people. We connect everything – people, process, data and things – and we use those connections to change our world for the better. We innovate everywhere - From launching a new era of networking that adapts, learns and protects, to building Cisco Services that accelerate businesses and business results. Our technology powers entertainment, retail, healthcare, education and more – from Smart-Cities to your everyday devices. We benefit everyone - We do all of this while striving for a culture that empowers every person to be the difference, at work and in our communities.

Colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Be you, with us! #WeAreCisco

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. 
"
